FANTASYCALC DYNASTY VALUES - 10 TEAM, 1QB, 1.0 PPR
Pulled: 2026-05-08
Source: https://api.fantasycalc.com/values/current?isDynasty=true&numQbs=1&numTeams=10&ppr=1
Total entries: 462

Columns: OverallRank | PosRank | Player | Pos | Team | Age | YOE | Value | Trend30D | RedraftValue | Tier | TradeFreq
  78 |  13 | Brock Purdy                  | QB  | SF   |  26.4 |   4 |   2360 |    -55 |    859 |   23 |  0.0062
  79 |  26 | D'Andre Swift                | RB  | CHI  |  27.3 |   6 |   2355 |    122 |   2595 |   23 |  0.0134
  80 |  14 | 2026 Pick 1.12               | PICK | FA   |     ? |   ? |   2289 |    467 |      0 |   24 |        
  80 |  32 | Denzel Boston                | WR  | CLE  |  22.4 |   0 |   2276 |   -130 |    429 |   24 |  0.0099
  81 |  14 | Fernando Mendoza             | QB  | LV   |  22.6 |   0 |   2270 |     94 |    376 |   24 |    0.01
  82 |  33 | DJ Moore                     | WR  | BUF  |  29.1 |   8 |   2266 |   -169 |   2010 |   24 |  0.0156
  83 |  10 | Eli Stowers                  | TE  | PHI  |  23.1 |   0 |   2233 |    233 |    388 |   24 |    0.01
  84 |  27 | David Montgomery             | RB  | HOU  |  28.9 |   7 |   2212 |    -12 |   2803 |   24 |  0.0168
  85 |  34 | DK Metcalf                   | WR  | PIT  |  28.4 |   7 |   2202 |    216 |   1705 |   24 |  0.0131
  86 |  35 | Matthew Golden               | WR  | GB   |  22.8 |   1 |   2194 |    327 |    419 |   24 |  0.0138
  87 |  28 | RJ Harvey                    | RB  | DEN  |  25.3 |   1 |   2187 |   -326 |   1559 |   24 |  0.0164
  88 |  15 | 2026 Pick 2.01               | PICK | FA   |     ? |   ? |   2179 |    460 |      0 |   24 |        
  88 |  36 | Jordan Addison               | WR  | MIN  |  24.3 |   3 |   2149 |   -134 |    629 |   24 |  0.0125
  89 |  29 | Chuba Hubbard                | RB  | CAR  |  26.9 |   5 |   2141 |     44 |   1958 |   24 |   0.012
